From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
85,86,Formal Criminal Organization,,"G23, G40, G43","G23, G40, G43, G111"
85,86,Kinship,brother,"G23, G40, G43","G23, G40, G43, G111"
91,379,Co-Offenders,main supplier of heroin,NONE,NONE
92,93,Legitimate,director /officer,NONE,NONE
93,95,Legitimate,director /officer,NONE,NONE
93,362,Legitimate,director /officer,NONE,NONE
92,94,Legitimate,director /officer,NONE,NONE
93,94,Co-Offenders,bt launder money,NONE,NONE
93,94,Legitimate,director /officer,NONE,NONE
94,95,Legitimate,director /officer,NONE,NONE
101,1834,Negative/Enemies,Assualt,G179,NONE
107,1714,Negative/Enemies,bt have planned/ attempted to kill each other,G48,G110
107,2015,Associate/Friendship,best friend,G48,G48
107,828,Co-Offenders,bt have stolen meth from other gang,G48,G48
107,2015,Co-Offenders,bt have stolen meth from other gang,G48,G48
107,828,Formal Criminal Organization,,G48,G48
108,1063,Negative/Enemies,btb involved in attemps to shoot other oc individuals,"G48, G107",NONE
108,1057,Co-Offenders,Same Cell,"G48, G107",G110
108,1057,Formal Criminal Organization,,"G48, G107",G110
108,2015,Associate/Friendship,former associate,"G48, G107",G48
108,589,Associate/Friendship,long-time friend,"G48, G107",G48
23,108,Co-Offenders,Same Cell,"G48, G107",G48
49,108,Co-Offenders,Same Cell,"G48, G107",G48
76,108,Co-Offenders,Same Cell,"G48, G107",G48
105,108,Co-Offenders,Same Cell,"G48, G107",G48
106,108,Co-Offenders,Same Cell,"G48, G107",G48
107,108,Co-Offenders,Same Cell,"G48, G107",G48
108,240,Co-Offenders,Same Cell,"G48, G107",G48
108,265,Co-Offenders,Same Cell,"G48, G107",G48
108,355,Co-Offenders,Same Cell,"G48, G107",G48
108,505,Co-Offenders,Same Cell,"G48, G107",G48
108,580,Co-Offenders,Same Cell,"G48, G107",G48
108,589,Co-Offenders,Same Cell,"G48, G107",G48
108,803,Co-Offenders,Same Cell,"G48, G107",G48
108,828,Co-Offenders,Same Cell,"G48, G107",G48
108,886,Co-Offenders,Same Cell,"G48, G107",G48
108,899,Co-Offenders,Same Cell,"G48, G107",G48
108,962,Co-Offenders,Same Cell,"G48, G107",G48
108,1087,Co-Offenders,Same Cell,"G48, G107",G48
108,1209,Co-Offenders,Same Cell,"G48, G107",G48
108,1603,Co-Offenders,Same Cell,"G48, G107",G48
108,1631,Co-Offenders,Same Cell,"G48, G107",G48
108,1686,Co-Offenders,Same Cell,"G48, G107",G48
108,1976,Co-Offenders,Same Cell,"G48, G107",G48
108,2015,Co-Offenders,Same Cell,"G48, G107",G48
