Node_ID,Gender,DOB_Year,Age_First_Analysis,Drug_Activity,Recode_Level,Drug_Type,Group_Membership_Type,Group_Membership_Code
1579,1,1985,31,1,8,1,3,13.0
1580,1,1971.0,45.0,1,8,1,4,99.0
1581,1,1986,30,1,4,2,1,9.0
1582,1,1973,43,0,0,0,0,6.0
1583,1.0,1970,46,0,0,0,7,4.0
1584,1.0,1981,35,0,0,0,10,13.0
1585,1,1973,43,0,0,0,0,6.0
1586,1,1975,41,0,0,0,7,4.0
1587,1.0,1968.0,48.0,0,0,0,4,99.0
1588,1.0,1968.0,48.0,0,0,0,4,99.0
1589,1,1973,43,0,0,0,7,4.0
1590,1,1946,70,0,0,0,4,99.0
1591,1,1932,84,0,0,0,4,99.0
1592,1,1951,65,0,0,0,4,99.0
1593,1,1949,67,0,0,0,4,99.0
1594,1,1954,62,0,0,0,4,99.0
1595,0,1978,38,0,0,0,4,99.0
1596,1,1978,38,1,8,2,7,4.0
1597,1,1981,35,0,0,0,7,4.0
1598,1.0,1984,32,0,0,0,7,4.0
1599,1,1969,47,0,0,0,7,4.0
1600,1,1982,34,0,0,0,7,4.0
1601,1,1981,35,0,0,0,4,99.0
1602,1,1985,31,1,8,1,7,4.0
1603,1,1966,50,0,0,0,0,6.0
1604,1,1983,33,0,0,0,4,99.0
1605,1,1981,35,1,3,8,0,6.0
1606,1,1948,68,1,36,8,0,6.0
1607,1.0,1981,35,0,0,0,0,6.0
1608,1,1974,42,0,0,0,4,99.0
1609,1,1977,39,0,0,0,0,6.0
1610,1,1948,68,0,0,0,2,11.0
1611,1,1973,43,0,0,0,3,13.0
1612,1,1972.0,44.0,0,0,0,0,6.0
1613,1,1969,47,1,3,3,0,6.0
1614,1.0,1968.0,48.0,0,0,0,4,99.0
1615,1,1985,31,1,8,1,3,13.0
1616,1.0,1979,37,1,3,3,2,11.0
1617,1,1939,77,1,6,2,4,99.0
1618,1,1983,33,0,0,0,0,6.0
1619,0,1962,54,1,6,6,9,2.0
1620,1,1964,52,1,5,1,0,6.0
1621,1,1965,51,1,8,1,8,3.0
1622,1.0,1972.0,44.0,0,0,0,0,6.0
1623,1,1982,34,0,0,0,0,6.0
1624,1,1983,33,0,0,0,0,6.0
1625,1,1952,64,0,0,0,4,99.0
1626,1,1975,41,0,0,0,4,99.0
1627,1,1982,34,0,0,0,4,99.0
1628,1,1982,34,0,0,0,0,6.0
1629,1,1985,31,0,0,0,4,99.0
1630,1,1950,66,0,0,0,2,11.0
1631,1,1979,37,0,0,0,0,6.0
1632,0,1965,51,0,0,0,4,99.0
1633,1,1984,32,0,0,0,4,99.0
1634,1,1977,39,1,8,2,4,99.0
1635,1,1965.0,51.0,0,0,0,2,11.0
1636,1,1956,60,0,0,0,4,99.0
1637,1,1956,60,0,0,0,6,14.0
1638,1,1983,33,1,9,6,3,13.0
1639,1,1979,37,0,0,0,0,6.0
1640,1,1980,36,0,0,0,0,6.0
1641,1,1980,36,1,9,6,3,13.0
1642,1,1924,92,1,6,2,4,99.0
1643,1,1946,70,1,6,2,4,99.0
1644,1,1981,35,0,0,0,0,6.0
1645,1,1971,45,1,8,6,2,11.0
1646,1,1970,46,1,37,7,2,11.0
1647,0,1964,52,0,0,0,4,99.0
1648,1,1928,88,0,0,0,4,99.0
1649,1,1986,30,1,9,6,3,13.0
1650,1.0,1975,41,1,1,2,0,6.0
1651,1,1956,60,1,11,1,2,11.0
1652,1,1967,49,0,0,0,0,6.0
1653,1,1979,37,1,5,2,0,6.0
1654,1,1980,36,0,0,0,2,11.0
1655,1.0,1973,43,0,0,0,4,99.0
1656,1,1981,35,0,0,0,0,6.0
1657,1,1965,51,1,10,6,0,6.0
1658,1,1971.0,45.0,1,8,1,4,99.0
1659,1,1984,32,1,5,1,0,6.0
1660,1,1981,35,1,1,5,0,6.0
1661,1,1946,70,1,11,1,2,11.0
1662,0,1986,30,1,9,6,3,13.0
1663,1,1950,66,1,10,19,4,99.0
1664,1,1965.0,51.0,0,0,0,2,11.0
1665,1,1959,57,1,4,8,2,11.0
1666,1,1957,59,1,37,7,2,11.0
1667,1,1975,41,1,10,5,0,6.0
1668,0.0,1964,52,1,6,16,9,2.0
1669,1,1954,62,0,0,0,0,6.0
1670,1,1946,70,0,0,0,4,99.0
1671,1,1972,44,0,0,0,4,99.0
1672,1,1981,35,0,0,0,0,6.0
1673,1,1976,40,0,0,0,10,32.0
1674,1,1981,35,0,0,0,0,6.0
1675,1,1969,47,1,5,1,0,6.0
1676,1,1980,36,0,0,0,0,6.0
1677,1,1969,47,1,10,1,0,6.0
1678,0,1987,29,1,1,5,0,6.0
1679,1,1972,44,1,32,1,0,6.0
1680,1,1981,35,1,5,1,0,6.0
1681,1,1973.0,43.0,1,2,2,1,9.0
1682,1,1972.0,44.0,0,0,0,0,6.0
1683,1,1956,60,0,0,0,2,11.0
1684,1,1976,40,0,0,0,0,6.0
1685,0,1968,48,1,5,2,0,6.0
1686,1,1985,31,1,5,4,12,10.0
1687,1,1985,31,1,8,1,4,99.0
1688,1,1983,33,1,5,4,1,9.0
1689,1,1964,52,1,2,2,1,9.0
1690,1.0,1974,42,0,0,0,0,6.0
1691,1,1980,36,0,0,0,7,4.0
1692,1,1980,36,0,0,0,4,99.0
1693,1,1945,71,1,4,8,7,4.0
1694,1,1979,37,0,0,0,5,1.0
1695,1,1980,36,1,1,2,4,99.0
1696,1,1959,57,0,0,0,4,99.0
1697,1,1955,61,0,0,0,4,99.0
1698,1,1976,40,0,0,0,0,6.0
1699,1.0,1974,42,0,0,0,0,6.0
1700,0,1961,55,0,0,0,4,99.0
1701,1,1921,95,1,6,5,4,99.0
1702,1,1956,60,0,0,0,4,99.0
1703,0,1957,59,0,0,0,4,99.0
1704,1,1975,41,0,0,0,0,6.0
1705,1,1984,32,0,0,0,0,6.0
1706,1,1981,35,0,0,0,0,6.0
1707,1,1979,37,1,8,2,7,4.0
1708,1,1975,41,0,0,0,0,6.0
1709,1,1956,60,0,0,0,4,99.0
1710,1,1982,34,0,0,0,7,4.0
1711,1,1975,41,1,8,2,2,11.0
