net_name,n_node_total,n_layer,obs_frac,log2H,AUC-PR,G-mean,MCC,ave_deg,link_density,edge_overlap_ratio,IG_ratio
london_transport,318,2,0.7,-1067.6257334939032,0.20938640460715438,0.14150489525299287,0.1409376179580774,[0.67773393 0.18986851],[0.00222209 0.00075392],[2.00630915 1.99693669],1.0880169217583684
london_transport,318,2,0.9,-1879.6918393109117,0.3598341196563749,0.25619300531943084,0.25526763679916253,[1.16954385 0.31779588],[0.003722   0.00120628],[2.00630915 1.99190524],1.0453934963371228
london_transport,318,2,0.95,-2053.721988921157,0.5048300866199006,0.085921060405355,0.08556987509320972,[1.285387   0.34833114],[0.00424578 0.00131738],[2.00630915 1.99077039],1.0051338194618908
mafia,143,2,0.1,-inf,0.33876018814127307,0.0286621703355558,0.021599564748885577,[0.03547496 0.06113302],[0.00045307 0.00039397],[2.01382843 2.01286319],inf
mafia,143,2,0.2,-87.39774598499818,0.19151161815850043,0.05056964148143125,0.030068219832202193,[0.15821109 0.18672621],[0.00200926 0.001438  ],[2.0128041  2.00890377],2.295134583762218
mafia,143,2,0.3,-287.46810101532617,0.16548956629614434,0.08416505017053334,0.05615613079130497,[0.31907629 0.47489098],[0.00401852 0.00356545],[2.00701271 2.0027972 ],1.8413695780484858
mafia,143,2,0.5,-856.1628007938532,0.18941655974072927,0.188886479089869,0.15748855157989589,[0.81567693 1.00165911],[0.00890377 0.0085098 ],[1.9929282  1.99308579],1.7284843448071618
mafia,143,2,0.7,-1428.8168597661693,0.2811291823868353,0.29776565173779934,0.270747375863368,[1.76655498 1.46957341],[0.01879248 0.01262681],[2.01408451 1.95441741],1.346818908608623
mafia,143,2,0.9,-1687.4102153162798,0.37528756800168767,0.352224156457114,0.3363205978928799,[2.74362573 1.88323995],[0.02529302 0.0184576 ],[1.99944844 1.95916478],1.1098191819450478
mafia,143,2,0.95,-1742.2642180771822,0.513046361625431,0.3668410355250774,0.3393757421359983,[3.06126712 1.73917112],[0.02848419 0.01766965],[2.01408451 1.94450901],1.1071931772434838
